"","before","after","ord","method","imp","rn","dat$before"
"1","Copy.initial.in.diagram","Draw.smaller.bar....multiplication","2","LASSO","83","5","Copy.initial.in.diagram"
"2","Copy.initial.in.diagram","Enter.larger.inital.in.diagram....calculated","1","BOTH","90","4","Copy.initial.in.diagram"
"3","Copy.initial.in.diagram","Enter.total.in.diagram...calculated...addition","2","LASSO","50","12","Copy.initial.in.diagram"
"4","Copy.initial.in.diagram","Draw.larger.bar....addition.subtraction","1","BOTH","300","1","Copy.initial.in.diagram"
"5","Copy.initial.in.diagram","Enter.quantity.from.diagram.by.reading","2","LASSO","70","9","Copy.initial.in.diagram"
"6","Copy.initial.in.diagram","Enter.larger.initial.in.diagram....given","2","LASSO","59","11","Copy.initial.in.diagram"
"7","Copy.initial.in.diagram","Enter.quantity.from.diagram.by.calculating","1","BOTH","111","3","Copy.initial.in.diagram"
"8","Copy.initial.in.diagram","Enter.added.quantity.in.diagram","2","LASSO","71","8","Copy.initial.in.diagram"
"9","Copy.initial.in.diagram","Enter.smaller.initial.in.diagram....given","2","LASSO","65","10","Copy.initial.in.diagram"
"10","Copy.initial.in.diagram","Enter.initial.in.diagram....given","2","LASSO","82","6","Copy.initial.in.diagram"
"11","Draw.larger.bar....addition.subtraction","Identify.larger.quantity....addition","2","LASSO","53","11","Draw.larger.bar....addition.subtraction"
"12","Draw.larger.bar....addition.subtraction","Enter.added.quantity.in.diagram","2","LASSO","66","9","Draw.larger.bar....addition.subtraction"
"13","Draw.larger.bar....addition.subtraction","Enter.total.in.diagram...calculated...addition","2","LASSO","76","4","Draw.larger.bar....addition.subtraction"
"14","Draw.larger.bar....addition.subtraction","Enter.larger.initial.in.diagram....given","2","LASSO","65","10","Draw.larger.bar....addition.subtraction"
"15","Draw.larger.bar....addition.subtraction","Enter.smaller.initial.in.diagram....given","2","LASSO","67","6","Draw.larger.bar....addition.subtraction"
"16","Draw.larger.bar....addition.subtraction","Identify.larger.quantity....subtraction","2","LASSO","52","12","Draw.larger.bar....addition.subtraction"
"17","Draw.larger.bar....addition.subtraction","Identify.larger.quantity....multiplication","2","LASSO","67","8","Draw.larger.bar....addition.subtraction"
"18","Draw.larger.bar....addition.subtraction","Enter.larger.inital.in.diagram....calculated","1","BOTH","103","2","Draw.larger.bar....addition.subtraction"
"19","Draw.larger.bar....addition.subtraction","Draw.smaller.bar....multiplication","2","LASSO","73","5","Draw.larger.bar....addition.subtraction"
"20","Draw.larger.bar....addition.subtraction","Enter.total.in.diagram...calculated...subtraction","2","LASSO","67","7","Draw.larger.bar....addition.subtraction"
"21","Draw.larger.bar....multiplication","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"11","Draw.larger.bar....multiplication"
"22","Draw.larger.bar....multiplication","Enter.larger.inital.in.diagram....calculated","3","RF","93","12","Draw.larger.bar....multiplication"
"23","Draw.larger.bar....multiplication","Identify.larger.quantity....multiplication","2","LASSO","61","8","Draw.larger.bar....multiplication"
"24","Draw.larger.bar....multiplication","Draw.smaller.bar....multiplication","1","BOTH","85","1","Draw.larger.bar....multiplication"
"25","Draw.larger.bar....multiplication","Identify.larger.quantity....subtraction","2","LASSO","47","9","Draw.larger.bar....multiplication"
"26","Draw.larger.bar....multiplication","Enter.total.in.diagram...calculated...multiplication","2","LASSO","65","5","Draw.larger.bar....multiplication"
"27","Draw.larger.bar....multiplication","Enter.added.quantity.in.diagram","2","LASSO","70","4","Draw.larger.bar....multiplication"
"28","Draw.larger.bar....multiplication","Enter.quantity.from.diagram.by.reading","2","LASSO","82","2","Draw.larger.bar....multiplication"
"29","Draw.larger.bar....multiplication","Identify.larger.quantity....addition","2","LASSO","64","6","Draw.larger.bar....multiplication"
"30","Draw.larger.bar....multiplication","Enter.total.in.diagram...calculated...subtraction","2","LASSO","61","7","Draw.larger.bar....multiplication"
"31","Draw.smaller.bar....addition.subtraction","Enter.larger.inital.in.diagram....calculated","2","LASSO","81","3","Draw.smaller.bar....addition.subtraction"
"32","Draw.smaller.bar....addition.subtraction","Identify.larger.quantity....multiplication","2","LASSO","56","7","Draw.smaller.bar....addition.subtraction"
"33","Draw.smaller.bar....addition.subtraction","Identify.larger.quantity....addition","2","LASSO","62","6","Draw.smaller.bar....addition.subtraction"
"34","Draw.smaller.bar....addition.subtraction","Identify.larger.quantity....subtraction","2","LASSO","35","8","Draw.smaller.bar....addition.subtraction"
"35","Draw.smaller.bar....addition.subtraction","Enter.added.quantity.in.diagram",NA,NA,NA,NA,"Draw.smaller.bar....addition.subtraction"
"36","Draw.smaller.bar....addition.subtraction","Enter.smaller.initial.in.diagram....given",NA,NA,NA,NA,"Draw.smaller.bar....addition.subtraction"
"37","Draw.smaller.bar....addition.subtraction","Enter.larger.initial.in.diagram....given","2","LASSO","67","5","Draw.smaller.bar....addition.subtraction"
"38","Draw.smaller.bar....addition.subtraction","Draw.larger.bar....addition.subtraction",NA,NA,NA,NA,"Draw.smaller.bar....addition.subtraction"
"39","Draw.smaller.bar....addition.subtraction","Enter.smaller.inital.in.diagram....calculated","2","LASSO","71","4","Draw.smaller.bar....addition.subtraction"
"40","Draw.smaller.bar....addition.subtraction","Enter.initial.in.diagram....given","1","BOTH","86","1","Draw.smaller.bar....addition.subtraction"
"41","Draw.smaller.bar....multiplication","Enter.smaller.inital.in.diagram....calculated","2","LASSO","77","2","Draw.smaller.bar....multiplication"
"42","Draw.smaller.bar....multiplication","Enter.larger.initial.in.diagram....given","2","LASSO","65","5","Draw.smaller.bar....multiplication"
"43","Draw.smaller.bar....multiplication","Draw.smaller.bar....addition.subtraction","2","LASSO",NA,"11","Draw.smaller.bar....multiplication"
"44","Draw.smaller.bar....multiplication","Enter.quantity.from.diagram.by.calculating","3","RF","104","12","Draw.smaller.bar....multiplication"
"45","Draw.smaller.bar....multiplication","Draw.larger.bar....multiplication","2","LASSO",NA,"10","Draw.smaller.bar....multiplication"
"46","Draw.smaller.bar....multiplication","Identify.larger.quantity....multiplication","2","LASSO","62","6","Draw.smaller.bar....multiplication"
"47","Draw.smaller.bar....multiplication","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"9","Draw.smaller.bar....multiplication"
"48","Draw.smaller.bar....multiplication","Enter.larger.inital.in.diagram....calculated","1","BOTH","107","1","Draw.smaller.bar....multiplication"
"49","Draw.smaller.bar....multiplication","Enter.quantity.from.diagram.by.reading","2","LASSO","72","3","Draw.smaller.bar....multiplication"
"50","Draw.smaller.bar....multiplication","Enter.total.in.diagram...calculated...subtraction","2","LASSO","60","7","Draw.smaller.bar....multiplication"
"51","Enter.added.quantity.in.diagram","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"8","Enter.added.quantity.in.diagram"
"52","Enter.added.quantity.in.diagram","Copy.initial.in.diagram","2","LASSO",NA,"7","Enter.added.quantity.in.diagram"
"53","Enter.added.quantity.in.diagram","Enter.quantity.from.diagram.by.reading","2","LASSO","75","2","Enter.added.quantity.in.diagram"
"54","Enter.added.quantity.in.diagram","Draw.larger.bar....multiplication","2","LASSO",NA,"9","Enter.added.quantity.in.diagram"
"55","Enter.added.quantity.in.diagram","Enter.quantity.from.diagram.by.calculating","2","LASSO","77","1","Enter.added.quantity.in.diagram"
"56","Enter.added.quantity.in.diagram","Enter.total.in.diagram...calculated...subtraction",NA,NA,NA,NA,"Enter.added.quantity.in.diagram"
"57","Enter.added.quantity.in.diagram","Enter.initial.in.diagram....given","2","LASSO","69","3","Enter.added.quantity.in.diagram"
"58","Enter.added.quantity.in.diagram","Enter.smaller.initial.in.diagram....given","2","LASSO","59","4","Enter.added.quantity.in.diagram"
"59","Enter.added.quantity.in.diagram","Draw.smaller.bar....addition.subtraction",NA,NA,NA,NA,"Enter.added.quantity.in.diagram"
"60","Enter.added.quantity.in.diagram","Draw.smaller.bar....multiplication","2","LASSO",NA,"10","Enter.added.quantity.in.diagram"
"61","Enter.initial.in.diagram....given","Draw.smaller.bar....multiplication",NA,NA,NA,NA,"Enter.initial.in.diagram....given"
"62","Enter.initial.in.diagram....given","Identify.larger.quantity....addition","2","LASSO","35","7","Enter.initial.in.diagram....given"
"63","Enter.initial.in.diagram....given","Draw.smaller.bar....addition.subtraction","2","LASSO",NA,"10","Enter.initial.in.diagram....given"
"64","Enter.initial.in.diagram....given","Identify.larger.quantity....subtraction","2","LASSO","35","8","Enter.initial.in.diagram....given"
"65","Enter.initial.in.diagram....given","Enter.smaller.inital.in.diagram....calculated","2","LASSO","60","2","Enter.initial.in.diagram....given"
"66","Enter.initial.in.diagram....given","Enter.quantity.from.diagram.by.reading","2","LASSO","64","1","Enter.initial.in.diagram....given"
"67","Enter.initial.in.diagram....given","Enter.added.quantity.in.diagram","2","LASSO",NA,"11","Enter.initial.in.diagram....given"
"68","Enter.initial.in.diagram....given","Enter.quantity.from.diagram.by.calculating","2","LASSO","59","3","Enter.initial.in.diagram....given"
"69","Enter.initial.in.diagram....given","Enter.smaller.initial.in.diagram....given","2","LASSO","51","4","Enter.initial.in.diagram....given"
"70","Enter.initial.in.diagram....given","Enter.larger.initial.in.diagram....given","2","LASSO","47","5","Enter.initial.in.diagram....given"
"71","Enter.larger.inital.in.diagram....calculated","Enter.quantity.from.diagram.by.calculating","1","BOTH","94","1","Enter.larger.inital.in.diagram....calculated"
"72","Enter.larger.inital.in.diagram....calculated","Enter.total.in.diagram...calculated...addition","2","LASSO","55","7","Enter.larger.inital.in.diagram....calculated"
"73","Enter.larger.inital.in.diagram....calculated","Identify.larger.quantity....subtraction","2","LASSO","37","9","Enter.larger.inital.in.diagram....calculated"
"74","Enter.larger.inital.in.diagram....calculated","Enter.subtracted.quantity.in.diagram","2","LASSO","69","5","Enter.larger.inital.in.diagram....calculated"
"75","Enter.larger.inital.in.diagram....calculated","Enter.total.in.diagram...calculated...multiplication","2","LASSO","55","8","Enter.larger.inital.in.diagram....calculated"
"76","Enter.larger.inital.in.diagram....calculated","Enter.smaller.inital.in.diagram....calculated","2","LASSO","84","2","Enter.larger.inital.in.diagram....calculated"
"77","Enter.larger.inital.in.diagram....calculated","Copy.initial.in.diagram","2","LASSO",NA,"10","Enter.larger.inital.in.diagram....calculated"
"78","Enter.larger.inital.in.diagram....calculated","Draw.smaller.bar....addition.subtraction","2","LASSO",NA,"12","Enter.larger.inital.in.diagram....calculated"
"79","Enter.larger.inital.in.diagram....calculated","Enter.smaller.initial.in.diagram....given","2","LASSO","76","3","Enter.larger.inital.in.diagram....calculated"
"80","Enter.larger.inital.in.diagram....calculated","Identify.larger.quantity....addition","2","LASSO","69","6","Enter.larger.inital.in.diagram....calculated"
"81","Enter.larger.initial.in.diagram....given","Identify.larger.quantity....addition","2","LASSO","33","4","Enter.larger.initial.in.diagram....given"
"82","Enter.larger.initial.in.diagram....given","Enter.total.in.diagram...calculated...addition","2","LASSO","42","2","Enter.larger.initial.in.diagram....given"
"83","Enter.larger.initial.in.diagram....given","Enter.subtracted.quantity.in.diagram","2","LASSO","36","3","Enter.larger.initial.in.diagram....given"
"84","Enter.larger.initial.in.diagram....given","Enter.total.in.diagram...calculated...subtraction","2","LASSO","27","5","Enter.larger.initial.in.diagram....given"
"85","Enter.larger.initial.in.diagram....given","Enter.smaller.inital.in.diagram....calculated","2","LASSO","48","1","Enter.larger.initial.in.diagram....given"
"86","Enter.larger.initial.in.diagram....given","Draw.smaller.bar....multiplication","2","LASSO",NA,"10","Enter.larger.initial.in.diagram....given"
"87","Enter.larger.initial.in.diagram....given","Identify.larger.quantity....subtraction","2","LASSO","26","6","Enter.larger.initial.in.diagram....given"
"88","Enter.larger.initial.in.diagram....given","Enter.larger.inital.in.diagram....calculated","2","LASSO",NA,"12","Enter.larger.initial.in.diagram....given"
"89","Enter.larger.initial.in.diagram....given","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"8","Enter.larger.initial.in.diagram....given"
"90","Enter.larger.initial.in.diagram....given","Draw.smaller.bar....addition.subtraction","2","LASSO",NA,"9","Enter.larger.initial.in.diagram....given"
"91","Enter.quantity.from.diagram.by.calculating","Enter.larger.initial.in.diagram....given","2","LASSO",NA,"12","Enter.quantity.from.diagram.by.calculating"
"92","Enter.quantity.from.diagram.by.calculating","Copy.initial.in.diagram","2","LASSO",NA,"8","Enter.quantity.from.diagram.by.calculating"
"93","Enter.quantity.from.diagram.by.calculating","Enter.subtracted.quantity.in.diagram","2","LASSO","47","5","Enter.quantity.from.diagram.by.calculating"
"94","Enter.quantity.from.diagram.by.calculating","Enter.initial.in.diagram....given","2","LASSO",NA,"10","Enter.quantity.from.diagram.by.calculating"
"95","Enter.quantity.from.diagram.by.calculating","Enter.larger.inital.in.diagram....calculated","2","LASSO",NA,"11","Enter.quantity.from.diagram.by.calculating"
"96","Enter.quantity.from.diagram.by.calculating","Identify.larger.quantity....addition","2","LASSO","43","7","Enter.quantity.from.diagram.by.calculating"
"97","Enter.quantity.from.diagram.by.calculating","Identify.larger.quantity....multiplication","2","LASSO","50","4","Enter.quantity.from.diagram.by.calculating"
"98","Enter.quantity.from.diagram.by.calculating","Enter.smaller.inital.in.diagram....calculated","2","LASSO","75","3","Enter.quantity.from.diagram.by.calculating"
"99","Enter.quantity.from.diagram.by.calculating","Enter.quantity.from.diagram.by.reading","1","BOTH","86","1","Enter.quantity.from.diagram.by.calculating"
"100","Enter.quantity.from.diagram.by.calculating","Enter.total.in.diagram...calculated...subtraction","2","LASSO","47","6","Enter.quantity.from.diagram.by.calculating"
"101","Enter.quantity.from.diagram.by.reading","Draw.larger.bar....multiplication","2","LASSO",NA,"10","Enter.quantity.from.diagram.by.reading"
"102","Enter.quantity.from.diagram.by.reading","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"9","Enter.quantity.from.diagram.by.reading"
"103","Enter.quantity.from.diagram.by.reading","Enter.smaller.initial.in.diagram....given","2","LASSO","78","2","Enter.quantity.from.diagram.by.reading"
"104","Enter.quantity.from.diagram.by.reading","Enter.added.quantity.in.diagram","2","LASSO",NA,"12","Enter.quantity.from.diagram.by.reading"
"105","Enter.quantity.from.diagram.by.reading","Enter.total.in.diagram...calculated...addition","2","LASSO","65","5","Enter.quantity.from.diagram.by.reading"
"106","Enter.quantity.from.diagram.by.reading","Copy.initial.in.diagram","2","LASSO",NA,"8","Enter.quantity.from.diagram.by.reading"
"107","Enter.quantity.from.diagram.by.reading","Draw.smaller.bar....multiplication","2","LASSO",NA,"11","Enter.quantity.from.diagram.by.reading"
"108","Enter.quantity.from.diagram.by.reading","Enter.total.in.diagram...calculated...multiplication","2","LASSO","74","4","Enter.quantity.from.diagram.by.reading"
"109","Enter.quantity.from.diagram.by.reading","Identify.larger.quantity....subtraction","2","LASSO","52","7","Enter.quantity.from.diagram.by.reading"
"110","Enter.quantity.from.diagram.by.reading","Identify.larger.quantity....addition","2","LASSO","57","6","Enter.quantity.from.diagram.by.reading"
"111","Enter.smaller.inital.in.diagram....calculated","Enter.larger.inital.in.diagram....calculated","2","LASSO",NA,"9","Enter.smaller.inital.in.diagram....calculated"
"112","Enter.smaller.inital.in.diagram....calculated","Enter.smaller.initial.in.diagram....given","2","LASSO","62","2","Enter.smaller.inital.in.diagram....calculated"
"113","Enter.smaller.inital.in.diagram....calculated","Enter.initial.in.diagram....given","2","LASSO",NA,"8","Enter.smaller.inital.in.diagram....calculated"
"114","Enter.smaller.inital.in.diagram....calculated","Enter.larger.initial.in.diagram....given","2","LASSO",NA,"10","Enter.smaller.inital.in.diagram....calculated"
"115","Enter.smaller.inital.in.diagram....calculated","Enter.quantity.from.diagram.by.reading","2","LASSO",NA,"12","Enter.smaller.inital.in.diagram....calculated"
"116","Enter.smaller.inital.in.diagram....calculated","Enter.quantity.from.diagram.by.calculating","2","LASSO",NA,"11","Enter.smaller.inital.in.diagram....calculated"
"117","Enter.smaller.inital.in.diagram....calculated","Identify.larger.quantity....subtraction","2","LASSO","46","5","Enter.smaller.inital.in.diagram....calculated"
"118","Enter.smaller.inital.in.diagram....calculated","Enter.subtracted.quantity.in.diagram","2","LASSO","61","3","Enter.smaller.inital.in.diagram....calculated"
"119","Enter.smaller.inital.in.diagram....calculated","Draw.smaller.bar....multiplication","2","LASSO",NA,"7","Enter.smaller.inital.in.diagram....calculated"
"120","Enter.smaller.inital.in.diagram....calculated","Enter.total.in.diagram...calculated...subtraction","2","LASSO","81","1","Enter.smaller.inital.in.diagram....calculated"
"121","Enter.smaller.initial.in.diagram....given","Enter.total.in.diagram...calculated...multiplication","2","LASSO","38","4","Enter.smaller.initial.in.diagram....given"
"122","Enter.smaller.initial.in.diagram....given","Identify.larger.quantity....subtraction","2","LASSO","33","6","Enter.smaller.initial.in.diagram....given"
"123","Enter.smaller.initial.in.diagram....given","Enter.total.in.diagram...calculated...subtraction","2","LASSO","42","2","Enter.smaller.initial.in.diagram....given"
"124","Enter.smaller.initial.in.diagram....given","Identify.larger.quantity....addition","2","LASSO","39","3","Enter.smaller.initial.in.diagram....given"
"125","Enter.smaller.initial.in.diagram....given","Enter.quantity.from.diagram.by.reading","2","LASSO",NA,"11","Enter.smaller.initial.in.diagram....given"
"126","Enter.smaller.initial.in.diagram....given","Enter.added.quantity.in.diagram","2","LASSO",NA,"8","Enter.smaller.initial.in.diagram....given"
"127","Enter.smaller.initial.in.diagram....given","Enter.initial.in.diagram....given","2","LASSO",NA,"9","Enter.smaller.initial.in.diagram....given"
"128","Enter.smaller.initial.in.diagram....given","Identify.larger.quantity....multiplication","2","LASSO","34","5","Enter.smaller.initial.in.diagram....given"
"129","Enter.smaller.initial.in.diagram....given","Copy.initial.in.diagram","2","LASSO",NA,"7","Enter.smaller.initial.in.diagram....given"
"130","Enter.smaller.initial.in.diagram....given","Enter.subtracted.quantity.in.diagram","2","LASSO","44","1","Enter.smaller.initial.in.diagram....given"
"131","Enter.subtracted.quantity.in.diagram","Enter.larger.inital.in.diagram....calculated","2","LASSO",NA,"4","Enter.subtracted.quantity.in.diagram"
"132","Enter.subtracted.quantity.in.diagram","Enter.total.in.diagram...calculated...multiplication",NA,NA,NA,NA,"Enter.subtracted.quantity.in.diagram"
"133","Enter.subtracted.quantity.in.diagram","Enter.quantity.from.diagram.by.reading",NA,NA,NA,NA,"Enter.subtracted.quantity.in.diagram"
"134","Enter.subtracted.quantity.in.diagram","Enter.subtracted.quantity.in.diagram",NA,NA,NA,NA,"Enter.subtracted.quantity.in.diagram"
"135","Enter.subtracted.quantity.in.diagram","Enter.initial.in.diagram....given",NA,NA,NA,NA,"Enter.subtracted.quantity.in.diagram"
"136","Enter.subtracted.quantity.in.diagram","Identify.larger.quantity....multiplication","2","LASSO","51","1","Enter.subtracted.quantity.in.diagram"
"137","Enter.subtracted.quantity.in.diagram","Copy.initial.in.diagram","2","LASSO",NA,"2","Enter.subtracted.quantity.in.diagram"
"138","Enter.subtracted.quantity.in.diagram","Enter.smaller.inital.in.diagram....calculated","2","LASSO",NA,"7","Enter.subtracted.quantity.in.diagram"
"139","Enter.subtracted.quantity.in.diagram","Enter.added.quantity.in.diagram","2","LASSO",NA,"3","Enter.subtracted.quantity.in.diagram"
"140","Enter.subtracted.quantity.in.diagram","Enter.quantity.from.diagram.by.calculating","2","LASSO",NA,"6","Enter.subtracted.quantity.in.diagram"
"141","Enter.total.in.diagram...calculated...addition","Enter.quantity.from.diagram.by.calculating","2","LASSO",NA,"11","Enter.total.in.diagram...calculated...addition"
"142","Enter.total.in.diagram...calculated...addition","Enter.quantity.from.diagram.by.reading","2","LASSO",NA,"12","Enter.total.in.diagram...calculated...addition"
"143","Enter.total.in.diagram...calculated...addition","Enter.total.in.diagram...calculated...subtraction","2","LASSO","56","1","Enter.total.in.diagram...calculated...addition"
"144","Enter.total.in.diagram...calculated...addition","Enter.added.quantity.in.diagram","2","LASSO",NA,"8","Enter.total.in.diagram...calculated...addition"
"145","Enter.total.in.diagram...calculated...addition","Enter.larger.initial.in.diagram....given","2","LASSO",NA,"10","Enter.total.in.diagram...calculated...addition"
"146","Enter.total.in.diagram...calculated...addition","Identify.larger.quantity....multiplication","2","LASSO","45","3","Enter.total.in.diagram...calculated...addition"
"147","Enter.total.in.diagram...calculated...addition","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"6","Enter.total.in.diagram...calculated...addition"
"148","Enter.total.in.diagram...calculated...addition","Draw.larger.bar....multiplication","2","LASSO",NA,"7","Enter.total.in.diagram...calculated...addition"
"149","Enter.total.in.diagram...calculated...addition","Identify.larger.quantity....subtraction","2","LASSO","45","4","Enter.total.in.diagram...calculated...addition"
"150","Enter.total.in.diagram...calculated...addition","Copy.initial.in.diagram","2","LASSO",NA,"5","Enter.total.in.diagram...calculated...addition"
"151","Enter.total.in.diagram...calculated...multiplication","Enter.quantity.from.diagram.by.reading","2","LASSO",NA,"4","Enter.total.in.diagram...calculated...multiplication"
"152","Enter.total.in.diagram...calculated...multiplication","Draw.larger.bar....multiplication","2","LASSO",NA,"2","Enter.total.in.diagram...calculated...multiplication"
"153","Enter.total.in.diagram...calculated...multiplication","Enter.larger.initial.in.diagram....given",NA,NA,NA,NA,"Enter.total.in.diagram...calculated...multiplication"
"154","Enter.total.in.diagram...calculated...multiplication","Identify.larger.quantity....subtraction",NA,NA,NA,NA,"Enter.total.in.diagram...calculated...multiplication"
"155","Enter.total.in.diagram...calculated...multiplication","Enter.smaller.initial.in.diagram....given","2","LASSO",NA,"5","Enter.total.in.diagram...calculated...multiplication"
"156","Enter.total.in.diagram...calculated...multiplication","Copy.initial.in.diagram",NA,NA,NA,NA,"Enter.total.in.diagram...calculated...multiplication"
"157","Enter.total.in.diagram...calculated...multiplication","Enter.larger.inital.in.diagram....calculated","2","LASSO",NA,"3","Enter.total.in.diagram...calculated...multiplication"
"158","Enter.total.in.diagram...calculated...multiplication","Draw.smaller.bar....addition.subtraction",NA,NA,NA,NA,"Enter.total.in.diagram...calculated...multiplication"
"159","Enter.total.in.diagram...calculated...multiplication","Enter.initial.in.diagram....given",NA,NA,NA,NA,"Enter.total.in.diagram...calculated...multiplication"
"160","Enter.total.in.diagram...calculated...multiplication","Draw.larger.bar....addition.subtraction",NA,NA,NA,NA,"Enter.total.in.diagram...calculated...multiplication"
"161","Enter.total.in.diagram...calculated...subtraction","Draw.larger.bar....multiplication","2","LASSO",NA,"5","Enter.total.in.diagram...calculated...subtraction"
"162","Enter.total.in.diagram...calculated...subtraction","Enter.smaller.initial.in.diagram....given","2","LASSO",NA,"11","Enter.total.in.diagram...calculated...subtraction"
"163","Enter.total.in.diagram...calculated...subtraction","Enter.smaller.inital.in.diagram....calculated","2","LASSO",NA,"10","Enter.total.in.diagram...calculated...subtraction"
"164","Enter.total.in.diagram...calculated...subtraction","Identify.larger.quantity....subtraction","2","LASSO","48","2","Enter.total.in.diagram...calculated...subtraction"
"165","Enter.total.in.diagram...calculated...subtraction","Enter.total.in.diagram...calculated...addition","2","LASSO",NA,"12","Enter.total.in.diagram...calculated...subtraction"
"166","Enter.total.in.diagram...calculated...subtraction","Enter.quantity.from.diagram.by.calculating","2","LASSO",NA,"8","Enter.total.in.diagram...calculated...subtraction"
"167","Enter.total.in.diagram...calculated...subtraction","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"4","Enter.total.in.diagram...calculated...subtraction"
"168","Enter.total.in.diagram...calculated...subtraction","Enter.quantity.from.diagram.by.reading","2","LASSO",NA,"9","Enter.total.in.diagram...calculated...subtraction"
"169","Enter.total.in.diagram...calculated...subtraction","Copy.initial.in.diagram","2","LASSO",NA,"3","Enter.total.in.diagram...calculated...subtraction"
"170","Enter.total.in.diagram...calculated...subtraction","Draw.smaller.bar....multiplication","2","LASSO",NA,"6","Enter.total.in.diagram...calculated...subtraction"
"171","Identify.larger.quantity....addition","Enter.quantity.from.diagram.by.reading","2","LASSO",NA,"10","Identify.larger.quantity....addition"
"172","Identify.larger.quantity....addition","Enter.initial.in.diagram....given","2","LASSO",NA,"6","Identify.larger.quantity....addition"
"173","Identify.larger.quantity....addition","Identify.larger.quantity....subtraction","2","LASSO","36","2","Identify.larger.quantity....addition"
"174","Identify.larger.quantity....addition","Enter.total.in.diagram...calculated...addition","2","LASSO",NA,"12","Identify.larger.quantity....addition"
"175","Identify.larger.quantity....addition","Draw.larger.bar....multiplication","2","LASSO",NA,"4","Identify.larger.quantity....addition"
"176","Identify.larger.quantity....addition","Enter.larger.initial.in.diagram....given","2","LASSO",NA,"8","Identify.larger.quantity....addition"
"177","Identify.larger.quantity....addition","Draw.smaller.bar....addition.subtraction","2","LASSO",NA,"5","Identify.larger.quantity....addition"
"178","Identify.larger.quantity....addition","Enter.smaller.initial.in.diagram....given","2","LASSO",NA,"11","Identify.larger.quantity....addition"
"179","Identify.larger.quantity....addition","Identify.larger.quantity....multiplication","2","LASSO","71","1","Identify.larger.quantity....addition"
"180","Identify.larger.quantity....addition","Enter.quantity.from.diagram.by.calculating","2","LASSO",NA,"9","Identify.larger.quantity....addition"
"181","Identify.larger.quantity....multiplication","Identify.larger.quantity....subtraction","2","LASSO","82","1","Identify.larger.quantity....multiplication"
"182","Identify.larger.quantity....multiplication","Enter.total.in.diagram...calculated...multiplication","2","LASSO",NA,"12","Identify.larger.quantity....multiplication"
"183","Identify.larger.quantity....multiplication","Enter.total.in.diagram...calculated...addition","2","LASSO",NA,"11","Identify.larger.quantity....multiplication"
"184","Identify.larger.quantity....multiplication","Draw.smaller.bar....multiplication","2","LASSO",NA,"5","Identify.larger.quantity....multiplication"
"185","Identify.larger.quantity....multiplication","Enter.smaller.inital.in.diagram....calculated","2","LASSO",NA,"8","Identify.larger.quantity....multiplication"
"186","Identify.larger.quantity....multiplication","Draw.larger.bar....multiplication","2","LASSO",NA,"3","Identify.larger.quantity....multiplication"
"187","Identify.larger.quantity....multiplication","Draw.smaller.bar....addition.subtraction","2","LASSO",NA,"4","Identify.larger.quantity....multiplication"
"188","Identify.larger.quantity....multiplication","Enter.quantity.from.diagram.by.calculating","2","LASSO",NA,"7","Identify.larger.quantity....multiplication"
"189","Identify.larger.quantity....multiplication","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"2","Identify.larger.quantity....multiplication"
"190","Identify.larger.quantity....multiplication","Enter.smaller.initial.in.diagram....given","2","LASSO",NA,"9","Identify.larger.quantity....multiplication"
"191","Identify.larger.quantity....subtraction","Enter.smaller.inital.in.diagram....calculated","2","LASSO",NA,"8","Identify.larger.quantity....subtraction"
"192","Identify.larger.quantity....subtraction","Draw.smaller.bar....addition.subtraction","2","LASSO",NA,"3","Identify.larger.quantity....subtraction"
"193","Identify.larger.quantity....subtraction","Enter.smaller.initial.in.diagram....given","2","LASSO",NA,"9","Identify.larger.quantity....subtraction"
"194","Identify.larger.quantity....subtraction","Enter.total.in.diagram...calculated...subtraction","2","LASSO",NA,"11","Identify.larger.quantity....subtraction"
"195","Identify.larger.quantity....subtraction","Draw.larger.bar....addition.subtraction","2","LASSO",NA,"1","Identify.larger.quantity....subtraction"
"196","Identify.larger.quantity....subtraction","Enter.quantity.from.diagram.by.reading","2","LASSO",NA,"7","Identify.larger.quantity....subtraction"
"197","Identify.larger.quantity....subtraction","Draw.larger.bar....multiplication","2","LASSO",NA,"2","Identify.larger.quantity....subtraction"
"198","Identify.larger.quantity....subtraction","Enter.larger.inital.in.diagram....calculated","2","LASSO",NA,"5","Identify.larger.quantity....subtraction"
"199","Identify.larger.quantity....subtraction","Enter.larger.initial.in.diagram....given","2","LASSO",NA,"6","Identify.larger.quantity....subtraction"
"200","Identify.larger.quantity....subtraction","Identify.larger.quantity....addition","2","LASSO",NA,"12","Identify.larger.quantity....subtraction"
